"NLCD","Position","LandCoverHigherOrder","LandCover"
52,"BA-01","Shrubland","Shrub/Scrub"
52,"BA-02","Shrubland","Shrub/Scrub"
52,"BA-03","Shrubland","Shrub/Scrub"
52,"BA-04","Shrubland","Shrub/Scrub"
52,"BA-05","Shrubland","Shrub/Scrub"
31,"BA-06","Barren","Barren Land (Rock/Sand/Clay) "
31,"BA-07","Barren","Barren Land (Rock/Sand/Clay) "
31,"BA-08","Barren","Barren Land (Rock/Sand/Clay) "
31,"BA-09","Barren","Barren Land (Rock/Sand/Clay) "
52,"BA-10","Shrubland","Shrub/Scrub"
52,"BA-11","Shrubland","Shrub/Scrub"
42,"BA-12","Forest","Evergreen Forest"
52,"BA-13","Shrubland","Shrub/Scrub"
52,"BA-14","Shrubland","Shrub/Scrub"
42,"BA-15","Forest","Evergreen Forest"
52,"CN-01","Shrubland","Shrub/Scrub"
52,"CN-02","Shrubland","Shrub/Scrub"
31,"CN-03","Barren","Barren Land (Rock/Sand/Clay) "
31,"CN-04","Barren","Barren Land (Rock/Sand/Clay) "
52,"CN-05","Shrubland","Shrub/Scrub"
52,"CN-06","Shrubland","Shrub/Scrub"
52,"CN-07","Shrubland","Shrub/Scrub"
31,"CN-08","Barren","Barren Land (Rock/Sand/Clay) "
52,"CN-09","Shrubland","Shrub/Scrub"
31,"CN-10","Barren","Barren Land (Rock/Sand/Clay) "
31,"CN-11","Barren","Barren Land (Rock/Sand/Clay) "
31,"CN-12","Barren","Barren Land (Rock/Sand/Clay) "
31,"CN-13","Barren","Barren Land (Rock/Sand/Clay) "
71,"CN-14","Herbaceous","Grassland/Herbaceous"
52,"CN-15","Shrubland","Shrub/Scrub"
31,"GB-01","Barren","Barren Land (Rock/Sand/Clay) "
52,"GB-02","Shrubland","Shrub/Scrub"
52,"GB-03","Shrubland","Shrub/Scrub"
52,"GB-04","Shrubland","Shrub/Scrub"
31,"GB-05","Barren","Barren Land (Rock/Sand/Clay) "
52,"GB-06","Shrubland","Shrub/Scrub"
31,"GB-07","Barren","Barren Land (Rock/Sand/Clay) "
31,"GB-08","Barren","Barren Land (Rock/Sand/Clay) "
52,"GB-09","Shrubland","Shrub/Scrub"
52,"GB-10","Shrubland","Shrub/Scrub"
52,"GB-11","Shrubland","Shrub/Scrub"
71,"GB-12","Herbaceous","Grassland/Herbaceous"
71,"GB-13","Herbaceous","Grassland/Herbaceous"
31,"GB-14","Barren","Barren Land (Rock/Sand/Clay) "
31,"GB-15","Barren","Barren Land (Rock/Sand/Clay) "
52,"LN-01","Shrubland","Shrub/Scrub"
31,"LN-02","Barren","Barren Land (Rock/Sand/Clay) "
31,"LN-03","Barren","Barren Land (Rock/Sand/Clay) "
31,"LN-04","Barren","Barren Land (Rock/Sand/Clay) "
52,"LN-05","Shrubland","Shrub/Scrub"
52,"LN-06","Shrubland","Shrub/Scrub"
52,"LN-07","Shrubland","Shrub/Scrub"
31,"LN-08","Barren","Barren Land (Rock/Sand/Clay) "
52,"LN-09","Shrubland","Shrub/Scrub"
52,"LN-10","Shrubland","Shrub/Scrub"
42,"LN-11","Forest","Evergreen Forest"
52,"LN-12","Shrubland","Shrub/Scrub"
71,"LN-13","Herbaceous","Grassland/Herbaceous"
31,"LN-14","Barren","Barren Land (Rock/Sand/Clay) "
31,"LN-15","Barren","Barren Land (Rock/Sand/Clay) "
42,"OL-01","Forest","Evergreen Forest"
52,"OL-02","Shrubland","Shrub/Scrub"
52,"OL-03","Shrubland","Shrub/Scrub"
52,"OL-04","Shrubland","Shrub/Scrub"
52,"OL-05","Shrubland","Shrub/Scrub"
52,"OL-06","Shrubland","Shrub/Scrub"
42,"OL-07","Forest","Evergreen Forest"
42,"OL-08","Forest","Evergreen Forest"
42,"OL-09","Forest","Evergreen Forest"
52,"OL-10","Shrubland","Shrub/Scrub"
42,"OL-11","Forest","Evergreen Forest"
42,"OL-12","Forest","Evergreen Forest"
52,"OL-13","Shrubland","Shrub/Scrub"
42,"OL-14","Forest","Evergreen Forest"
52,"OL-15","Shrubland","Shrub/Scrub"
52,"SW-01","Shrubland","Shrub/Scrub"
52,"SW-02","Shrubland","Shrub/Scrub"
71,"SW-03","Herbaceous","Grassland/Herbaceous"
52,"SW-04","Shrubland","Shrub/Scrub"
52,"SW-05","Shrubland","Shrub/Scrub"
31,"SW-06","Barren","Barren Land (Rock/Sand/Clay) "
31,"SW-07","Barren","Barren Land (Rock/Sand/Clay) "
52,"SW-08","Shrubland","Shrub/Scrub"
71,"SW-09","Herbaceous","Grassland/Herbaceous"
52,"SW-10","Shrubland","Shrub/Scrub"
52,"SW-11","Shrubland","Shrub/Scrub"
52,"SW-12","Shrubland","Shrub/Scrub"
52,"SW-13","Shrubland","Shrub/Scrub"
31,"SW-14","Barren","Barren Land (Rock/Sand/Clay) "
52,"SW-15","Shrubland","Shrub/Scrub"
31,"WA-01","Barren","Barren Land (Rock/Sand/Clay) "
71,"WA-02","Herbaceous","Grassland/Herbaceous"
52,"WA-03","Shrubland","Shrub/Scrub"
52,"WA-04","Shrubland","Shrub/Scrub"
31,"WA-05","Barren","Barren Land (Rock/Sand/Clay) "
52,"WA-06","Shrubland","Shrub/Scrub"
31,"WA-07","Barren","Barren Land (Rock/Sand/Clay) "
31,"WA-08","Barren","Barren Land (Rock/Sand/Clay) "
71,"WA-09","Herbaceous","Grassland/Herbaceous"
71,"WA-10","Herbaceous","Grassland/Herbaceous"
52,"WA-11","Shrubland","Shrub/Scrub"
52,"WA-12","Shrubland","Shrub/Scrub"
31,"WA-13","Barren","Barren Land (Rock/Sand/Clay) "
52,"WA-14","Shrubland","Shrub/Scrub"
71,"WA-15","Herbaceous","Grassland/Herbaceous"
52,"WH-01","Shrubland","Shrub/Scrub"
52,"WH-02","Shrubland","Shrub/Scrub"
52,"WH-03","Shrubland","Shrub/Scrub"
52,"WH-04","Shrubland","Shrub/Scrub"
52,"WH-05","Shrubland","Shrub/Scrub"
52,"WH-06","Shrubland","Shrub/Scrub"
52,"WH-07","Shrubland","Shrub/Scrub"
31,"WH-08","Barren","Barren Land (Rock/Sand/Clay) "
52,"WH-09","Shrubland","Shrub/Scrub"
31,"WH-10","Barren","Barren Land (Rock/Sand/Clay) "
31,"WH-11","Barren","Barren Land (Rock/Sand/Clay) "
31,"WH-12","Barren","Barren Land (Rock/Sand/Clay) "
31,"WH-13","Barren","Barren Land (Rock/Sand/Clay) "
31,"WH-14","Barren","Barren Land (Rock/Sand/Clay) "
31,"WH-15","Barren","Barren Land (Rock/Sand/Clay) "
42,"WL-01","Forest","Evergreen Forest"
52,"WL-02","Shrubland","Shrub/Scrub"
52,"WL-03","Shrubland","Shrub/Scrub"
31,"WL-04","Barren","Barren Land (Rock/Sand/Clay) "
31,"WL-05","Barren","Barren Land (Rock/Sand/Clay) "
42,"WL-06","Forest","Evergreen Forest"
42,"WL-07","Forest","Evergreen Forest"
31,"WL-08","Barren","Barren Land (Rock/Sand/Clay) "
52,"WL-09","Shrubland","Shrub/Scrub"
52,"WL-10","Shrubland","Shrub/Scrub"
52,"WL-11","Shrubland","Shrub/Scrub"
31,"WL-12","Barren","Barren Land (Rock/Sand/Clay) "
31,"WL-13","Barren","Barren Land (Rock/Sand/Clay) "
52,"WL-14","Shrubland","Shrub/Scrub"
31,"WL-15","Barren","Barren Land (Rock/Sand/Clay) "
