Camera ID; multiple rows for cameras with multiple snowy windows.,"The first date of a snow event - flagging all imagery with any snow in the focal area (across all ROI's) as snowy. Snow in distance not included here. Of highest priority was interannual, intracamera consistency. Format YYYY-MM-DD","The first date of a snow event - flagging all imagery with any snow in the focal area (across all ROI's) as snowy. Snow in distance not included here. Of highest priority was interannual, intracamera consistency. Format YYYY-MM-DD","The first date of a snow event - flagging all imagery with any snow in the focal area (across all ROI's) as snowy. Snow in distance not included here. Of highest priority was interannual, intracamera consistency. Format YYYY-MM-DD","The last date (inclusive) of a snow event i.e., the listed day contains snow and the following day is snow free. Format YYYY-MM-DD","The last date (inclusive) of a snow event i.e., the listed day contains snow and the following day is snow free. Format YYYY-MM-DD","The last date (inclusive) of a snow event i.e., the listed day contains snow and the following day is snow free. Format YYYY-MM-DD"
Position,SnowStartYear,SnowStartMonth,SnowStartDay,SnowStopYear,SnowStopMonth,SnowStopDay
BA-01,2019,11,27,2019,12,7
BA-01,2019,12,23,2019,12,24
BA-01,2019,12,26,2019,12,28
BA-01,2020,1,17,2020,1,19
BA-01,2020,12,28,2021,1,6
BA-01,2021,1,27,2021,2,7
BA-02,2019,1,6,2019,1,6
BA-02,2019,1,15,2019,1,16
BA-02,2019,2,9,2019,2,13
BA-02,2019,11,27,2019,12,7
BA-02,2019,12,26,2019,12,27
BA-02,2020,1,17,2020,1,19
BA-02,2020,12,28,2021,1,6
BA-02,2021,1,27,2021,2,5
BA-03,2019,11,27,2019,12,7
BA-03,2019,12,23,2019,12,29
BA-03,2020,1,17,2020,1,20
BA-03,2020,12,14,2020,12,16
BA-03,2020,12,28,2021,1,11
BA-03,2021,1,27,2021,2,11
BA-03,2021,3,11,2021,3,11
BA-04,2020,11,8,2020,11,8
BA-04,2020,12,14,2020,12,14
BA-04,2020,12,17,2020,12,17
BA-04,2020,12,27,2021,1,3
BA-04,2021,1,27,2021,2,7
BA-04,2021,2,12,2021,2,12
BA-04,2021,3,12,2021,3,12
BA-05,2018,11,29,2019,4,8
BA-05,2019,11,20,2020,2,17
BA-05,2020,2,22,2020,2,27
BA-05,2020,3,2,2020,3,2
BA-05,2020,3,11,2020,3,12
BA-05,2020,3,17,2020,3,21
BA-05,2020,3,27,2020,3,27
BA-05,2020,4,6,2020,4,12
BA-05,2020,11,8,2020,11,9
BA-05,2020,12,14,2021,3,6
BA-05,2021,3,12,2021,3,13
BA-06,2019,7,7,2019,7,7
BA-06,2019,9,29,2019,9,29
BA-06,2019,11,20,2020,6,8
BA-08,2018,11,22,2019,7,12
BA-08,2019,11,20,2020,5,21
BA-08,2020,11,7,2020,11,16
BA-08,2020,11,18,2020,11,19
BA-08,2020,11,26,2020,11,26
BA-08,2020,12,7,2020,12,7
BA-08,2020,12,12,2021,4,19
BA-08,2021,4,25,2021,4,27
BA-08,2021,5,21,2021,5,22
BA-09,2019,7,6,2019,7,7
BA-09,2019,10,28,2019,10,28
BA-09,2019,11,20,2020,5,9
BA-09,2020,5,19,2020,5,21
BA-09,2020,11,7,2020,11,19
BA-09,2020,11,23,2020,11,23
BA-09,2020,11,26,2020,11,26
BA-09,2020,12,7,2020,12,8
BA-09,2020,12,12,2021,5,2
BA-09,2021,5,21,2021,5,23
BA-10,2019,11,20,2020,2,5
BA-10,2020,2,9,2020,2,9
BA-10,2020,2,22,2020,2,24
BA-10,2020,3,1,2020,3,3
BA-10,2020,3,10,2020,3,12
BA-10,2020,3,16,2020,3,24
BA-10,2020,3,27,2020,3,29
BA-10,2020,4,5,2020,4,23
BA-10,2020,5,19,2020,5,19
BA-10,2020,11,8,2020,11,10
BA-10,2020,12,7,2020,12,7
BA-10,2020,12,12,2021,1,5
BA-10,2021,1,19,2021,1,19
BA-10,2021,1,23,2021,1,23
BA-10,2021,1,25,2021,2,7
BA-10,2021,3,10,2021,3,18
BA-10,2021,3,20,2021,3,24
BA-10,2021,3,25,2021,3,25
BA-10,2021,5,21,2021,5,21
BA-11,2019,11,20,2020,2,27
BA-11,2020,3,1,2020,3,3
BA-11,2020,3,10,2020,3,13
BA-11,2020,3,16,2020,3,30
BA-11,2020,4,6,2020,4,21
BA-11,2020,11,7,2020,11,11
BA-11,2020,12,7,2020,12,7
BA-11,2020,12,12,2021,3,2
BA-11,2021,3,10,2021,3,17
BA-11,2021,3,20,2021,3,21
BA-11,2021,3,23,2021,3,23
BA-12,2019,11,20,2020,2,11
BA-12,2020,2,22,2020,2,24
BA-12,2020,3,1,2020,3,2
BA-12,2020,3,10,2020,3,13
BA-12,2020,3,16,2020,3,29
BA-12,2020,4,6,2020,4,18
BA-12,2020,11,8,2020,11,10
BA-12,2020,12,12,2020,12,21
BA-12,2020,12,27,2021,1,10
BA-12,2021,1,19,2021,1,19
BA-12,2021,1,23,2021,1,25
BA-12,2021,1,27,2021,2,24
BA-12,2021,3,10,2021,3,16
BA-12,2021,3,20,2021,3,21
BA-12,2021,3,23,2021,3,23
BA-13,2019,11,20,2019,11,22
BA-13,2019,11,27,2019,12,11
BA-13,2019,12,23,2019,12,31
BA-13,2020,1,17,2020,1,22
BA-13,2020,2,22,2020,2,22
BA-13,2020,3,11,2020,3,12
BA-13,2020,3,16,2020,3,22
BA-13,2020,3,27,2020,3,27
BA-13,2020,4,6,2020,4,12
BA-13,2020,11,8,2020,11,8
BA-13,2020,12,17,2020,12,17
BA-13,2020,12,27,2021,1,2
BA-13,2021,1,27,2021,2,6
BA-13,2021,2,12,2021,2,13
BA-13,2021,3,10,2021,3,10
BA-13,2021,3,12,2021,3,12
BA-13,2021,3,20,2021,3,20
BA-14,2019,11,20,2020,2,1
BA-14,2020,2,22,2020,2,23
BA-14,2020,3,1,2020,3,2
BA-14,2020,3,10,2020,3,13
BA-14,2020,3,16,2020,3,29
BA-14,2020,4,6,2020,4,18
BA-14,2020,11,8,2020,11,10
BA-14,2020,12,12,2021,1,11
BA-14,2021,1,19,2021,1,19
BA-14,2021,1,23,2021,1,23
BA-14,2021,1,25,2021,2,21
BA-14,2021,3,10,2021,3,15
BA-14,2021,3,20,2021,3,21
BA-15,2019,11,20,2020,2,26
BA-15,2020,3,1,2020,3,2
BA-15,2020,3,10,2020,3,12
BA-15,2020,3,16,2020,3,24
BA-15,2020,4,6,2020,4,13
BA-15,2020,11,8,2020,11,8
BA-15,2020,12,12,2021,3,16
BA-15,2021,3,20,2021,3,20
CN-01,2019,11,20,2020,4,28
CN-01,2020,11,7,2021,4,20
CN-02,2019,9,29,2019,9,29
CN-02,2019,11,20,2020,4,27
CN-02,2020,11,7,2021,4,13
CN-02,2021,5,22,2021,5,22
CN-03,2020,11,7,2020,11,13
CN-03,2020,11,18,2020,11,22
CN-03,2020,12,12,2021,1,15
CN-03,2021,1,23,2021,3,24
CN-03,2021,3,26,2021,3,26
CN-03,2021,5,21,2021,5,22
CN-04,2019,11,20,2020,5,12
CN-04,2020,11,7,2021,5,25
CN-05,2019,9,29,2019,9,29
CN-05,2019,11,20,2020,5,7
CN-05,2020,11,7,2021,5,16
CN-05,2021,5,21,2021,5,22
CN-06,2019,9,29,2019,9,29
CN-06,2019,11,20,2020,4,29
CN-06,2020,5,19,2020,5,19
CN-06,2020,11,7,2021,4,21
CN-06,2021,5,21,2021,5,22
CN-07,2019,9,29,2019,9,29
CN-07,2019,11,20,2020,5,4
CN-07,2020,5,19,2020,5,19
CN-07,2020,11,7,2021,5,6
CN-08,2019,11,20,2020,2,28
CN-08,2020,3,1,2020,3,6
CN-08,2020,3,11,2020,3,12
CN-08,2020,3,15,2020,4,25
CN-08,2020,5,19,2020,5,19
CN-08,2020,11,7,2020,11,15
CN-08,2020,11,18,2020,11,25
CN-08,2020,12,12,2021,1,9
CN-08,2021,1,23,2021,4,18
CN-08,2021,4,21,2021,4,21
CN-08,2021,5,21,2021,5,21
CN-09,2019,9,29,2019,9,29
CN-09,2019,11,20,2020,4,3
CN-09,2020,4,5,2020,4,26
CN-09,2020,5,18,2020,5,20
CN-09,2020,11,7,2020,12,1
CN-09,2020,12,12,2021,4,8
CN-09,2021,4,21,2021,4,21
CN-09,2021,5,21,2021,5,23
CN-10,2019,9,9,2019,9,9
CN-10,2019,9,28,2019,9,29
CN-10,2019,11,20,2020,2,15
CN-10,2020,2,22,2020,5,4
CN-10,2020,5,18,2020,5,21
CN-10,2020,11,7,2020,11,16
CN-10,2020,11,18,2020,11,26
CN-10,2020,12,12,2021,1,7
CN-10,2021,1,19,2021,1,19
CN-10,2021,1,23,2021,2,23
CN-10,2021,3,10,2021,4,8
CN-10,2021,4,21,2021,4,21
CN-10,2021,4,27,2021,4,27
CN-10,2021,5,16,2021,5,16
CN-10,2021,5,21,2021,5,23
CN-11,2019,9,28,2019,9,29
CN-11,2019,11,20,2020,5,5
CN-11,2020,5,18,2020,5,21
CN-11,2020,6,13,2020,6,13
CN-11,2020,11,7,2020,11,14
CN-11,2020,11,18,2020,11,24
CN-11,2020,11,26,2020,11,27
CN-11,2020,12,7,2020,12,7
CN-11,2020,12,12,2021,1,13
CN-11,2021,1,19,2021,1,20
CN-11,2021,1,23,2021,2,6
CN-11,2021,2,9,2021,4,6
CN-11,2021,4,21,2021,4,21
CN-11,2021,4,26,2021,4,28
CN-11,2021,5,16,2021,5,17
CN-11,2021,5,21,2021,5,24
CN-12,2020,11,7,2020,11,29
CN-12,2020,12,12,2021,1,16
CN-12,2021,1,19,2021,1,19
CN-12,2021,1,23,2021,4,3
CN-12,2021,4,21,2021,4,22
CN-12,2021,4,25,2021,4,28
CN-12,2021,5,16,2021,5,16
CN-12,2021,5,21,2021,5,24
CN-13,2019,9,19,2019,9,19
CN-13,2019,9,28,2019,10,4
CN-13,2019,10,28,2019,10,28
CN-13,2019,11,20,2020,6,6
CN-13,2020,6,13,2020,6,13
CN-13,2020,11,7,2021,5,18
CN-13,2021,5,21,2021,5,26
CN-14,2019,9,19,2019,9,20
CN-14,2019,9,28,2019,10,3
CN-14,2019,10,28,2019,10,28
CN-14,2019,11,20,2020,6,3
CN-14,2020,11,7,2021,5,30
CN-15,2019,9,28,2019,10,7
CN-15,2019,11,20,2020,6,11
CN-15,2020,11,7,2021,6,4
GB-01,2018,10,4,2018,11,5
GB-01,2018,11,22,2019,8,18
GB-01,2020,11,7,2021,6,23
GB-02,2018,10,7,2018,10,7
GB-02,2018,11,22,2019,6,17
GB-02,2019,9,29,2019,9,29
GB-02,2019,11,20,2020,5,8
GB-02,2020,5,18,2020,5,21
GB-02,2020,6,13,2020,6,13
GB-02,2020,11,7,2021,5,8
GB-02,2021,5,21,2021,5,26
GB-03,2018,10,2,2018,10,17
GB-03,2018,11,22,2019,4,26
GB-03,2019,5,10,2019,5,12
GB-03,2019,5,15,2019,6,6
GB-03,2019,9,19,2019,9,19
GB-03,2019,9,29,2019,10,2
GB-03,2019,11,20,2020,5,12
GB-03,2020,5,18,2020,5,23
GB-03,2020,6,13,2020,6,13
GB-03,2020,11,7,2021,5,1
GB-03,2021,5,16,2021,5,19
GB-03,2021,5,21,2021,5,30
GB-04,2018,10,5,2018,10,6
GB-04,2018,10,7,2018,10,7
GB-04,2018,11,22,2019,4,24
GB-04,2019,5,10,2019,5,12
GB-04,2019,5,16,2019,6,5
GB-04,2019,9,29,2019,9,29
GB-04,2019,11,20,2020,2,18
GB-04,2020,2,22,2020,2,26
GB-04,2020,3,1,2020,5,11
GB-04,2020,5,18,2020,5,23
GB-04,2020,6,13,2020,6,13
GB-04,2020,11,7,2020,11,15
GB-04,2020,11,18,2020,11,29
GB-04,2020,12,12,2021,1,9
GB-04,2021,1,19,2021,1,20
GB-04,2021,1,22,2021,2,4
GB-04,2021,2,9,2021,2,10
GB-04,2021,2,12,2021,4,29
GB-04,2021,5,17,2021,5,17
GB-04,2021,5,21,2021,5,26
GB-05,2018,10,7,2018,10,7
GB-05,2018,11,22,2019,7,3
GB-05,2019,9,29,2019,9,29
GB-05,2019,11,20,2020,6,11
GB-05,2020,6,13,2020,6,13
GB-05,2020,11,7,2021,6,6
GB-06,2018,10,7,2018,10,7
GB-06,2018,11,22,2019,6,17
GB-06,2019,9,29,2019,10,4
GB-06,2019,11,20,2020,6,11
GB-06,2020,6,13,2020,6,15
GB-06,2020,11,7,2021,6,3
GB-07,2018,8,3,2018,10,20
GB-07,2018,10,22,2019,7,4
GB-07,2019,8,19,2019,8,19
GB-07,2019,8,29,2019,9,11
GB-07,2019,10,20,2020,5,26
GB-07,2020,11,7,2021,6,6
GB-08,2019,11,20,2019,11,24
GB-08,2019,11,27,2020,2,12
GB-08,2020,2,22,2020,2,23
GB-08,2020,3,1,2020,3,4
GB-08,2020,3,11,2020,3,11
GB-08,2020,3,15,2020,4,30
GB-08,2020,5,18,2020,5,21
GB-08,2020,6,13,2020,6,13
GB-08,2020,11,7,2020,11,23
GB-08,2020,12,12,2021,1,13
GB-08,2021,1,19,2021,1,19
GB-08,2021,1,22,2021,3,2
GB-08,2021,3,10,2021,4,2
GB-08,2021,4,15,2021,4,15
GB-08,2021,4,21,2021,4,21
GB-08,2021,4,25,2021,4,28
GB-08,2021,5,21,2021,5,26
GB-09,2019,5,20,2019,7,28
GB-09,2019,9,29,2019,10,1
GB-09,2019,11,20,2020,5,27
GB-09,2020,6,7,2020,6,7
GB-09,2020,6,13,2020,6,13
GB-10,2019,9,29,2019,9,29
GB-10,2019,11,20,2020,5,8
GB-10,2020,5,18,2020,5,22
GB-10,2020,11,7,2020,11,15
GB-10,2020,11,18,2020,11,27
GB-10,2020,12,12,2021,1,11
GB-10,2021,1,19,2021,1,20
GB-10,2021,1,22,2021,2,5
GB-10,2021,2,9,2021,4,22
GB-10,2021,4,25,2021,4,28
GB-10,2021,5,16,2021,5,17
GB-10,2021,5,21,2021,5,27
GB-12,2019,9,29,2019,9,29
GB-12,2019,11,20,2020,5,5
GB-12,2020,5,18,2020,5,20
GB-12,2020,6,13,2020,6,13
GB-12,2020,11,7,2021,4,29
GB-12,2021,5,21,2021,5,24
GB-13,2018,11,22,2019,6,12
GB-13,2019,9,29,2019,9,29
GB-13,2019,11,20,2020,5,9
GB-13,2020,5,18,2020,5,19
GB-13,2020,11,7,2021,4,30
GB-13,2021,5,21,2021,5,25
GB-14,2019,9,29,2019,10,1
GB-14,2019,11,20,2020,5,16
GB-14,2020,5,18,2020,5,25
GB-14,2020,11,7,2021,5,3
GB-14,2021,5,17,2021,5,17
GB-14,2021,5,21,2021,5,28
GB-15,2019,11,20,2019,11,24
GB-15,2019,11,27,2020,3,8
GB-15,2020,3,11,2020,3,12
GB-15,2020,3,15,2020,4,26
GB-15,2020,11,7,2020,11,15
GB-15,2020,11,18,2020,11,23
GB-15,2020,12,12,2021,4,15
GB-15,2021,4,25,2021,4,28
GB-15,2021,5,21,2021,5,23
LN-02,2019,10,28,2019,10,28
LN-02,2019,11,20,2020,6,1
LN-02,2020,11,7,2020,11,16
LN-02,2020,11,26,2020,11,26
LN-02,2020,12,7,2020,12,10
LN-02,2020,12,12,2021,4,22
LN-02,2021,4,27,2021,4,28
LN-02,2021,5,21,2021,5,23
LN-03,2019,11,20,2020,5,31
LN-03,2020,11,7,2020,11,27
LN-03,2020,12,7,2020,12,10
LN-03,2020,12,12,2021,4,11
LN-03,2021,4,17,2021,4,17
LN-03,2021,4,27,2021,4,28
LN-03,2021,5,21,2021,5,23
LN-04,2019,11,20,2020,5,5
LN-04,2020,11,7,2020,11,16
LN-04,2020,11,26,2020,11,26
LN-04,2020,12,7,2020,12,7
LN-04,2020,12,14,2021,4,17
LN-04,2021,4,27,2021,4,27
LN-04,2021,5,21,2021,5,21
LN-05,2019,11,21,2019,11,24
LN-05,2019,11,27,2019,12,6
LN-05,2019,12,23,2020,1,12
LN-05,2020,1,17,2020,1,23
LN-05,2020,2,22,2020,2,23
LN-05,2020,3,2,2020,3,3
LN-05,2020,4,8,2020,4,11
LN-05,2020,12,27,2021,1,13
LN-05,2021,1,27,2021,2,5
LN-05,2021,2,12,2021,2,12
LN-05,2021,3,12,2021,3,13
LN-07,2019,11,20,2020,2,11
LN-07,2020,2,22,2020,2,24
LN-07,2020,3,1,2020,3,3
LN-07,2020,3,10,2020,3,11
LN-07,2020,3,17,2020,3,24
LN-07,2020,3,26,2020,3,29
LN-07,2020,4,6,2020,4,15
LN-07,2020,11,7,2020,11,9
LN-07,2020,12,7,2020,12,7
LN-07,2020,12,14,2021,2,20
LN-07,2021,3,10,2021,3,15
LN-07,2021,5,21,2021,5,21
LN-08,2018,10,7,2018,10,7
LN-08,2018,11,22,2018,11,25
LN-08,2018,11,28,2019,3,31
LN-08,2019,4,2,2019,4,2
LN-08,2019,4,10,2019,4,10
LN-08,2019,4,12,2019,4,17
LN-08,2019,4,29,2019,4,29
LN-08,2019,5,10,2019,5,17
LN-08,2019,5,19,2019,5,20
LN-08,2019,5,22,2019,6,3
LN-08,2019,11,20,2020,2,13
LN-08,2020,2,22,2020,5,2
LN-08,2020,5,19,2020,5,19
LN-08,2020,11,7,2020,11,14
LN-08,2020,11,26,2020,11,26
LN-08,2020,12,7,2020,12,7
LN-08,2020,12,12,2021,2,6
LN-08,2021,2,12,2021,3,2
LN-08,2021,3,10,2021,3,31
LN-08,2021,4,17,2021,4,17
LN-08,2021,4,27,2021,4,28
LN-08,2021,5,21,2021,5,22
LN-09,2019,11,21,2019,11,22
LN-09,2019,11,27,2019,12,4
LN-09,2019,12,23,2020,1,1
LN-09,2020,1,17,2020,1,20
LN-09,2020,2,22,2020,2,22
LN-09,2020,3,2,2020,3,2
LN-09,2020,4,8,2020,4,10
LN-09,2020,12,27,2021,1,4
LN-09,2021,1,27,2021,2,2
LN-09,2021,3,12,2021,3,12
LN-10,2019,11,21,2019,11,24
LN-10,2019,11,27,2019,12,7
LN-10,2019,12,23,2020,1,11
LN-10,2020,1,17,2020,1,24
LN-10,2020,2,22,2020,2,22
LN-10,2020,3,2,2020,3,3
LN-10,2020,3,20,2020,3,20
LN-10,2020,3,27,2020,3,27
LN-10,2020,4,8,2020,4,10
LN-10,2020,12,14,2020,12,14
LN-10,2020,12,27,2021,1,17
LN-10,2021,1,27,2021,2,10
LN-10,2021,3,12,2021,3,13
LN-11,2019,11,20,2020,5,8
LN-11,2020,5,19,2020,5,20
LN-11,2020,11,7,2020,11,17
LN-11,2020,11,26,2020,11,27
LN-11,2020,12,7,2020,12,9
LN-11,2020,12,12,2021,4,7
LN-11,2021,4,27,2021,4,27
LN-11,2021,5,21,2021,5,21
LN-13,2019,8,9,2019,8,12
LN-13,2019,11,20,2020,6,18
LN-13,2020,11,7,2020,11,19
LN-13,2020,12,7,2020,12,9
LN-13,2020,12,12,2020,12,12
LN-13,2020,12,14,2021,5,3
LN-13,2021,5,21,2021,5,23
LN-14,2019,12,21,2020,6,10
LN-14,2020,6,19,2020,6,20
LN-14,2020,12,8,2020,12,19
LN-14,2020,12,27,2020,12,27
LN-14,2021,1,7,2021,1,10
LN-14,2021,1,12,2021,1,12
LN-14,2021,1,14,2021,2,16
LN-14,2021,2,19,2021,3,29
LN-14,2021,4,10,2021,5,9
LN-14,2021,5,18,2021,5,18
LN-14,2021,5,28,2021,5,29
LN-14,2021,6,21,2021,6,23
LN-15,2019,10,28,2019,10,29
LN-15,2019,11,20,2020,6,3
LN-15,2020,11,7,2020,11,18
LN-15,2020,11,26,2020,11,26
LN-15,2020,12,7,2020,12,12
LN-15,2020,12,14,2021,5,4
LN-15,2021,5,21,2021,5,23
OL-01,2020,1,1,2020,1,14
OL-01,2020,1,17,2020,1,17
OL-01,2020,3,2,2020,3,2
OL-01,2020,3,27,2020,3,27
OL-01,2020,4,8,2020,4,9
OL-01,2020,11,8,2020,11,8
OL-01,2020,12,27,2021,1,13
OL-01,2021,1,23,2021,1,23
OL-01,2021,1,27,2021,2,2
OL-01,2021,3,12,2021,3,12
OL-02,2020,12,27,2020,12,29
OL-02,2021,1,27,2021,1,27
OL-03,2019,11,21,2019,12,7
OL-03,2019,12,23,2020,1,22
OL-03,2020,3,2,2020,3,3
OL-03,2020,3,27,2020,3,27
OL-03,2020,4,8,2020,4,9
OL-03,2020,11,8,2020,11,8
OL-03,2020,12,27,2021,1,18
OL-03,2021,1,23,2021,1,25
OL-03,2021,1,27,2021,2,8
OL-03,2021,3,12,2021,3,12
OL-04,2018,12,6,2018,12,7
OL-04,2019,1,15,2019,1,16
OL-04,2019,2,5,2019,2,7
OL-04,2019,2,11,2019,2,11
OL-04,2019,11,21,2019,11,21
OL-04,2019,11,27,2019,12,2
OL-04,2019,12,23,2019,12,23
OL-04,2019,12,26,2019,12,29
OL-04,2020,3,2,2020,3,2
OL-04,2020,4,8,2020,4,8
OL-04,2020,12,27,2020,12,29
OL-04,2020,1,27,2020,1,28
OL-04,2021,3,12,2021,3,12
OL-05,2019,11,20,2020,5,4
OL-05,2020,5,19,2020,5,20
OL-05,2020,11,7,2020,11,19
OL-05,2020,12,7,2020,12,7
OL-05,2020,12,14,2021,4,2
OL-05,2020,4,26,2020,4,28
OL-06,2018,11,30,2018,11,30
OL-06,2018,12,6,2018,12,8
OL-06,2019,1,7,2019,1,7
OL-06,2019,1,12,2019,1,12
OL-06,2019,1,14,2019,1,17
OL-06,2019,2,3,2019,2,12
OL-06,2019,3,6,2019,3,6
OL-06,2019,3,21,2019,3,21
OL-06,2019,11,21,2019,11,23
OL-06,2019,11,27,2019,12,2
OL-06,2019,12,23,2019,12,31
OL-06,2020,1,17,2020,1,17
OL-06,2020,2,22,2020,2,22
OL-06,2020,3,2,2020,3,2
OL-06,2020,4,8,2020,4,10
OL-06,2020,12,27,2021,1,1
