Camera ID; multiple rows for cameras with multiple snowy windows.,"The first date of a snow event - flagging all imagery with any snow in the focal area (across all ROI's) as snowy. Snow in distance not included here. Of highest priority was interannual, intracamera consistency. Format YYYY-MM-DD","The first date of a snow event - flagging all imagery with any snow in the focal area (across all ROI's) as snowy. Snow in distance not included here. Of highest priority was interannual, intracamera consistency. Format YYYY-MM-DD","The first date of a snow event - flagging all imagery with any snow in the focal area (across all ROI's) as snowy. Snow in distance not included here. Of highest priority was interannual, intracamera consistency. Format YYYY-MM-DD","The last date (inclusive) of a snow event i.e., the listed day contains snow and the following day is snow free. Format YYYY-MM-DD","The last date (inclusive) of a snow event i.e., the listed day contains snow and the following day is snow free. Format YYYY-MM-DD","The last date (inclusive) of a snow event i.e., the listed day contains snow and the following day is snow free. Format YYYY-MM-DD"
OL-06,2021,1,27,2021,1,30
OL-06,2021,3,12,2021,3,12
OL-07,2018,11,29,2018,12,2
OL-07,2018,12,6,2018,12,9
OL-07,2019,1,7,2019,1,8
OL-07,2019,1,12,2019,1,22
OL-07,2019,2,2,2019,2,23
OL-07,2019,3,6,2019,3,12
OL-07,2019,3,21,2019,3,21
OL-07,2019,11,21,2019,11,23
OL-07,2019,11,27,2019,12,6
OL-07,2019,12,23,2020,1,2
OL-07,2020,1,17,2020,1,19
OL-07,2020,2,22,2020,2,23
OL-07,2020,3,2,2020,3,2
OL-07,2020,3,11,2020,3,11
OL-07,2020,3,17,2020,3,17
OL-07,2020,3,21,2020,3,21
OL-07,2020,3,23,2020,3,23
OL-07,2020,3,27,2020,3,27
OL-07,2020,4,6,2020,4,11
OL-07,2020,11,8,2020,11,8
OL-07,2020,12,27,2020,12,31
OL-07,2021,1,27,2021,2,1
OL-07,2021,3,12,2021,3,12
OL-08,2019,11,21,2019,11,24
OL-08,2019,11,27,2019,12,4
OL-08,2019,12,23,2020,1,2
OL-08,2020,1,17,2020,1,17
OL-08,2020,2,22,2020,2,23
OL-08,2020,3,2,2020,3,2
OL-08,2020,3,27,2020,3,27
OL-08,2020,4,6,2020,4,6
OL-08,2020,4,8,2020,4,11
OL-08,2020,11,8,2020,11,8
OL-08,2020,12,27,2021,1,4
OL-08,2021,1,23,2021,1,23
OL-08,2021,1,27,2021,1,31
OL-08,2021,3,12,2021,3,12
OL-09,2019,11,20,2020,5,7
OL-09,2020,5,18,2020,5,20
OL-09,2020,11,7,2020,11,16
OL-09,2020,11,18,2020,11,18
OL-09,2020,12,7,2020,12,7
OL-09,2020,12,14,2021,1,15
OL-09,2021,1,19,2021,3,5
OL-09,2021,3,10,2021,3,30
OL-09,2021,4,22,2021,4,22
OL-09,2021,4,28,2021,4,28
OL-10,2019,11,20,2020,3,5
OL-10,2020,3,10,2020,4,27
OL-10,2020,5,19,2020,5,19
OL-10,2020,11,8,2020,11,14
OL-10,2020,12,7,2020,12,7
OL-10,2020,12,14,2020,12,20
OL-10,2020,12,27,2021,1,9
OL-10,2021,1,19,2021,1,20
OL-10,2021,1,23,2021,2,27
OL-10,2021,3,10,2021,3,17
OL-10,2021,3,20,2021,3,21
OL-10,2021,3,26,2021,3,26
OL-10,2021,4,27,2021,4,27
OL-12,2020,11,8,2020,11,13
OL-12,2020,12,14,2021,4,8
OL-13,2020,11,7,2020,11,15
OL-13,2020,12,7,2020,12,7
OL-13,2020,12,14,2020,12,20
OL-13,2020,12,27,2021,1,10
OL-13,2021,1,19,2021,1,21
OL-13,2021,1,23,2021,3,7
OL-13,2021,3,10,2021,3,27
OL-13,2021,4,27,2021,4,28
OL-14,2019,10,28,2019,10,28
OL-14,2019,11,20,2020,1,25
OL-14,2020,1,29,2020,2,9
OL-14,2020,2,22,2020,4,28
OL-14,2020,5,19,2020,5,19
OL-14,2020,11,7,2020,11,18
OL-14,2020,12,7,2020,12,7
OL-14,2020,12,14,2021,1,10
OL-14,2021,1,19,2021,2,7
OL-14,2021,2,12,2021,3,6
OL-14,2021,3,10,2021,3,29
OL-14,2021,4,26,2021,4,28
OL-15,2019,11,20,2020,4,24
OL-15,2020,11,8,2020,11,14
OL-15,2020,12,7,2020,12,7
OL-15,2020,12,14,2020,12,25
OL-15,2020,12,27,2021,1,14
OL-15,2021,1,19,2021,1,20
OL-15,2021,1,23,2021,2,28
OL-15,2021,3,10,2021,3,17
OL-15,2021,3,20,2021,3,22
OL-15,2021,3,26,2021,3,26
OL-15,2021,4,27,2021,4,27
SW-01,2020,11,7,2020,11,20
SW-01,2020,11,23,2020,11,23
SW-01,2020,12,7,2020,12,9
SW-01,2020,12,12,2021,4,17
SW-02,2019,7,5,2019,7,12
SW-02,2019,9,29,2019,9,29
SW-02,2019,10,28,2019,10,28
SW-02,2019,11,20,2020,5,15
SW-02,2020,5,19,2020,5,21
SW-02,2020,11,7,2021,5,3
SW-02,2021,5,5,2021,5,6
SW-02,2021,5,21,2021,5,23
SW-03,2019,10,28,2019,10,28
SW-03,2019,11,20,2020,5,16
SW-03,2020,5,18,2020,5,20
SW-03,2020,11,7,2021,4,28
SW-03,2021,5,21,2021,5,23
SW-04,2019,11,20,2020,4,29
SW-04,2020,11,7,2020,11,15
SW-04,2020,11,18,2020,11,18
SW-04,2020,12,7,2020,12,8
SW-04,2020,12,12,2021,4,12
SW-05,2019,11,20,2020,1,26
SW-05,2020,2,22,2020,2,23
SW-05,2020,3,1,2020,3,2
SW-05,2020,3,11,2020,3,11
SW-05,2020,3,17,2020,3,23
SW-05,2020,4,6,2020,4,6
SW-05,2020,4,8,2020,4,12
SW-05,2020,12,17,2020,12,20
SW-05,2020,12,28,2021,1,15
SW-05,2021,1,23,2021,1,23
SW-05,2021,1,27,2021,2,21
SW-05,2021,3,11,2021,3,13
SW-06,2019,9,29,2019,9,29
SW-06,2019,10,28,2019,10,29
SW-06,2019,11,20,2020,5,8
SW-06,2020,5,18,2020,5,20
SW-06,2020,11,7,2020,11,30
SW-06,2020,12,7,2020,12,9
SW-06,2020,12,12,2021,4,23
SW-06,2021,4,26,2021,4,26
SW-06,2021,5,21,2021,5,23
SW-07,2019,10,28,2019,10,28
SW-07,2019,11,20,2020,5,17
SW-07,2020,5,19,2020,5,20
SW-07,2020,11,7,2020,11,16
SW-07,2020,11,18,2020,12,9
SW-07,2020,12,12,2021,5,4
SW-08,2019,9,29,2019,9,29
SW-08,2019,10,28,2019,10,30
SW-08,2019,11,20,2020,5,27
SW-08,2020,11,7,2021,5,20
SW-08,2021,5,22,2021,5,22
SW-09,2019,11,20,2020,4,29
SW-09,2020,5,19,2020,5,19
SW-09,2020,11,7,2020,11,18
SW-09,2020,11,23,2020,11,24
SW-09,2020,12,7,2020,12,9
SW-09,2020,12,12,2021,4,9
SW-10,2020,11,7,2020,11,13
SW-10,2020,11,23,2020,11,23
SW-10,2020,12,7,2020,12,7
SW-10,2020,12,12,2021,4,11
SW-11,2019,11,20,2019,11,22
SW-11,2019,11,27,2019,12,9
SW-11,2020,12,14,2020,12,17
SW-11,2020,12,28,2021,1,13
SW-11,2021,1,27,2021,2,12
SW-11,2021,3,11,2021,3,12
SW-12,2019,11,20,2020,4,22
SW-12,2020,11,8,2020,11,11
SW-12,2020,12,7,2020,12,7
SW-12,2020,12,12,2021,4,1
SW-13,2019,10,28,2019,10,28
SW-13,2019,11,20,2020,5,3
SW-13,2020,5,19,2020,5,20
SW-13,2020,11,7,2020,12,10
SW-13,2020,12,12,2021,4,17
SW-13,2021,5,22,2021,5,22
SW-15,2019,11,20,2020,4,16
SW-15,2020,11,8,2020,11,8
SW-15,2020,12,14,2021,3,27
WA-01,2017,11,22,2018,5,27
WA-01,2018,9,29,2018,9,29
WA-01,2018,11,20,2018,11,23
WA-01,2018,11,27,2019,2,18
WA-01,2019,2,22,2019,2,22
WA-01,2019,3,2,2019,3,5
WA-01,2019,3,12,2019,3,12
WA-01,2019,3,15,2019,4,4
WA-01,2019,4,6,2019,4,29
WA-01,2019,5,19,2019,5,19
WA-01,2020,11,7,2020,11,11
WA-01,2020,11,14,2020,11,14
WA-01,2020,11,18,2020,11,29
WA-01,2020,12,12,2021,1,11
WA-01,2021,1,22,2021,4,2
WA-01,2021,4,14,2021,4,14
WA-01,2021,4,25,2021,4,25
WA-01,2021,4,27,2021,4,28
WA-01,2021,5,21,2021,5,23
WA-02,2018,11,22,2018,11,24
WA-02,2018,11,28,2018,12,14
WA-02,2018,12,17,2018,12,17
WA-02,2018,12,21,2018,12,21
WA-02,2018,12,25,2018,12,28
WA-02,2019,1,5,2019,4,25
WA-02,2019,5,16,2019,5,17
WA-02,2019,5,19,2019,5,19
WA-02,2019,5,21,2019,5,24
WA-02,2019,5,26,2019,5,26
WA-02,2019,11,20,2019,11,21
WA-02,2019,11,27,2019,12,21
WA-02,2019,12,23,2020,1,3
WA-02,2020,1,9,2020,1,9
WA-02,2020,1,17,2020,1,22
WA-02,2020,1,26,2020,1,26
WA-02,2020,2,3,2020,2,3
WA-02,2020,2,9,2020,2,9
WA-02,2020,3,1,2020,3,2
WA-02,2020,3,15,2020,3,30
WA-02,2020,4,5,2020,4,18
WA-02,2020,5,18,2020,5,18
WA-02,2020,11,8,2020,11,10
WA-02,2020,11,18,2020,11,20
WA-02,2020,12,12,2020,12,19
WA-02,2020,12,26,2021,1,3
WA-02,2021,1,5,2021,1,5
WA-02,2021,1,22,2021,3,5
WA-02,2021,3,10,2021,3,17
WA-02,2021,3,19,2021,3,28
WA-02,2021,4,14,2021,4,15
WA-02,2021,5,16,2021,5,16
WA-02,2021,5,21,2021,5,22
WA-03,2018,11,22,2019,4,24
WA-03,2019,5,16,2019,5,17
WA-03,2019,5,19,2019,5,19
WA-03,2019,5,22,2019,5,22
WA-03,2019,9,29,2019,9,29
WA-03,2019,11,20,2020,3,11
WA-03,2020,3,14,2020,4,2
WA-03,2020,4,5,2020,4,18
WA-03,2020,11,7,2021,4,8
WA-03,2021,4,14,2021,4,14
WA-04,2018,10,7,2018,10,7
WA-04,2018,11,22,2019,6,6
WA-04,2019,9,29,2019,10,8
WA-04,2019,11,20,2020,5,26
WA-04,2020,6,13,2020,6,13
WA-04,2020,11,7,2021,5,11
WA-04,2021,5,16,2021,5,17
WA-04,2021,5,21,2021,5,24
WA-05,2019,9,29,2019,9,29
WA-05,2019,11,20,2020,2,14
WA-05,2020,2,22,2020,2,25
WA-05,2020,3,1,2020,5,9
WA-05,2020,5,18,2020,5,21
WA-05,2020,6,3,2020,6,3
WA-05,2020,11,7,2020,11,16
WA-05,2020,11,18,2021,4,11
WA-05,2021,4,14,2021,4,19
WA-05,2021,4,25,2021,4,28
WA-05,2021,5,16,2021,5,16
WA-05,2021,5,21,2021,5,25
WA-07,2019,9,29,2019,10,7
WA-07,2019,11,20,2020,5,9
WA-07,2020,5,18,2020,5,24
WA-07,2020,6,8,2020,6,8
WA-07,2020,6,13,2020,6,13
WA-07,2020,11,7,2021,4,11
WA-07,2021,4,14,2021,4,29
WA-07,2021,5,16,2021,5,17
WA-07,2021,5,21,2021,5,25
WA-08,2018,11,22,2019,5,7
WA-08,2019,5,10,2019,5,10
WA-08,2019,5,16,2019,5,27
WA-08,2019,11,20,2019,11,21
WA-08,2019,11,27,2020,2,15
WA-08,2020,2,22,2020,2,22
WA-08,2020,3,1,2020,3,4
WA-08,2020,3,7,2020,3,8
WA-08,2020,3,11,2020,3,11
WA-08,2020,3,14,2020,4,25
WA-08,2020,5,18,2020,5,21
WA-08,2020,6,13,2020,6,13
WA-11,2018,11,22,2019,3,22
WA-11,2019,11,20,2019,11,21
WA-11,2019,11,27,2020,2,26
WA-11,2020,3,1,2020,3,2
WA-11,2020,3,16,2020,3,29
WA-11,2020,4,6,2020,4,11
WA-12,2018,11,22,2019,5,9
WA-12,2019,5,15,2019,5,18
WA-12,2019,5,20,2019,5,22
WA-12,2019,11,20,2019,11,21
WA-12,2019,11,27,2020,1,31
WA-12,2020,2,3,2020,2,3
WA-12,2020,2,9,2020,2,9
WA-12,2020,2,22,2020,2,22
WA-12,2020,3,1,2020,3,2
WA-12,2020,3,15,2020,3,30
WA-12,2020,4,5,2020,4,16
WA-12,2020,11,7,2020,11,11
WA-12,2020,11,14,2020,11,14
WA-12,2020,11,18,2020,11,24
WA-12,2020,12,12,2020,12,24
WA-12,2020,12,26,2021,1,8
WA-12,2021,1,22,2021,3,1
WA-12,2021,3,9,2021,3,28
WA-12,2021,4,14,2021,4,14
WA-12,2021,4,25,2021,4,25
WA-12,2021,5,16,2021,5,16
WA-12,2021,5,21,2021,5,22
WA-13,2018,11,22,2019,5,27
WA-13,2020,11,7,2020,11,10
WA-13,2020,11,18,2020,11,27
WA-13,2020,12,12,2021,1,14
WA-13,2021,1,19,2021,1,19
WA-13,2021,1,22,2021,4,3
WA-13,2021,4,14,2021,4,15
WA-13,2021,4,25,2021,4,27
WA-13,2021,5,16,2021,5,17
WA-13,2021,5,21,2021,5,23
WA-14,2019,11,20,2019,11,21
WA-14,2019,11,27,2020,2,6
WA-14,2020,2,9,2020,2,9
WA-14,2020,3,1,2020,3,2
WA-14,2020,3,15,2020,3,28
WA-14,2020,4,5,2020,4,14
WA-14,2020,11,8,2020,11,10
WA-14,2020,11,14,2020,11,14
WA-14,2020,11,18,2020,11,22
WA-14,2020,12,12,2021,1,12
WA-14,2021,1,23,2021,2,26
WA-14,2021,3,10,2021,3,16
WA-14,2021,3,19,2021,3,26
WA-14,2021,4,14,2021,4,14
WA-14,2021,5,21,2021,5,21
WA-15,2019,9,29,2019,9,30
WA-15,2019,11,20,2020,2,13
WA-15,2020,2,22,2020,2,25
WA-15,2020,3,1,2020,3,5
WA-15,2020,3,7,2020,3,8
WA-15,2020,3,11,2020,3,11
WA-15,2020,3,14,2020,5,10
WA-15,2020,5,18,2020,5,21
WA-15,2020,11,7,2020,11,16
WA-15,2020,11,18,2021,3,30
WA-15,2021,4,14,2021,4,17
WA-15,2021,4,21,2021,4,21
WA-15,2021,4,25,2021,4,28
WA-15,2021,5,16,2021,5,17
WA-15,2021,5,21,2021,5,23
WH-01,2019,11,27,2019,12,7
WH-01,2019,12,23,2019,12,30
WH-01,2020,1,17,2020,1,22
WH-01,2020,4,9,2020,4,9
WH-01,2020,12,14,2020,12,16
WH-01,2020,12,28,2021,1,3
WH-01,2021,1,27,2021,2,15
WH-02,2019,11,27,2019,12,5
WH-02,2019,12,23,2019,12,24
WH-02,2019,12,26,2019,12,26
WH-02,2020,1,17,2020,1,19
WH-02,2020,4,9,2020,4,9
WH-02,2020,12,28,2020,12,28
WH-02,2021,1,27,2021,2,5
WH-03,2018,11,22,2018,11,23
WH-03,2018,11,29,2019,4,9
WH-03,2019,11,21,2019,11,21
WH-03,2019,11,27,2020,2,20
WH-03,2020,3,17,2020,3,17
WH-03,2020,4,6,2020,4,6
WH-03,2020,4,9,2020,4,9
WH-03,2020,11,8,2020,11,13
WH-03,2020,12,14,2021,3,27
WH-04,2019,11,27,2019,12,7
WH-04,2019,12,23,2020,1,1
WH-04,2020,1,17,2020,1,22
WH-04,2020,4,6,2020,4,6
WH-04,2020,4,9,2020,4,9
WH-04,2020,11,8,2020,11,8
WH-04,2020,12,14,2020,12,16
WH-04,2020,12,28,2021,1,3
WH-04,2021,1,27,2021,2,13
WH-05,2019,11,27,2019,12,7
WH-05,2019,12,23,2019,12,28
WH-05,2019,12,30,2019,12,30
WH-05,2020,1,17,2020,1,20
WH-05,2020,4,6,2020,4,6
WH-05,2020,4,9,2020,4,9
WH-05,2020,11,8,2020,11,8
WH-05,2020,12,8,2020,12,29
WH-05,2021,1,27,2021,2,5
WH-05,2021,2,12,2021,2,12
WH-06,2020,11,8,2020,11,9
WH-06,2020,12,14,2020,12,16
WH-06,2020,12,28,2021,1,3
WH-06,2021,1,27,2021,2,15
WH-07,2019,10,27,2019,10,27
WH-07,2019,11,20,2019,11,23
WH-07,2019,11,27,2020,2,17
WH-07,2020,2,22,2020,2,23
WH-07,2020,3,1,2020,3,2
WH-07,2020,3,11,2020,3,11
WH-07,2020,3,16,2020,3,23
WH-07,2020,3,27,2020,3,27
WH-07,2020,4,5,2020,4,18
WH-07,2020,5,18,2020,5,18
WH-07,2020,11,8,2020,11,9
WH-07,2020,11,18,2020,11,19
WH-07,2020,12,12,2020,12,21
WH-07,2020,12,26,2021,1,5
WH-07,2021,1,23,2021,1,25
WH-07,2021,1,27,2021,3,3
WH-07,2021,3,10,2021,3,16
WH-07,2021,3,20,2021,3,20
WH-07,2021,3,23,2021,3,23
WH-07,2021,4,27,2021,4,27
WH-08,2019,9,29,2019,9,30
WH-08,2019,10,28,2019,10,29
WH-08,2019,11,20,2020,5,11
WH-08,2020,5,18,2020,5,21
WH-08,2020,11,7,2021,5,3
WH-08,2021,5,21,2021,5,22
WH-09,2019,10,27,2019,10,27
WH-09,2019,11,20,2019,11,23
WH-09,2019,11,27,2020,2,7
WH-09,2020,2,9,2020,2,10
WH-09,2020,2,22,2020,2,23
WH-09,2020,2,29,2020,3,2
WH-09,2020,3,11,2020,3,11
WH-09,2020,3,15,2020,3,28
WH-09,2020,4,5,2020,4,21
WH-09,2020,5,18,2020,5,19
WH-09,2020,11,7,2020,11,10
WH-09,2020,11,14,2020,11,14
WH-09,2020,11,18,2020,11,21
WH-09,2020,12,12,2020,12,23
WH-09,2020,12,26,2021,1,7
WH-09,2021,1,23,2021,3,6
WH-09,2021,3,10,2021,3,25
WH-09,2021,4,27,2021,4,27
WH-10,2019,9,29,2019,10,1
WH-10,2019,10,28,2019,10,28
WH-10,2019,11,20,2020,6,6
WH-10,2020,11,7,2021,5,14
WH-10,2021,5,16,2021,5,17
WH-10,2021,5,21,2021,5,23
WH-11,2019,9,29,2019,10,2
WH-11,2019,10,28,2019,10,28
WH-11,2019,11,20,2020,6,15
WH-11,2020,11,7,2021,5,31
WH-12,2018,10,2,2018,10,3
WH-12,2018,10,7,2018,10,8
WH-12,2018,10,12,2018,10,12
WH-12,2018,11,22,2019,6,24
WH-12,2019,9,29,2019,10,1
WH-12,2019,10,28,2019,10,28
WH-12,2019,11,20,2020,5,28
WH-12,2020,11,7,2020,11,16
WH-12,2020,11,18,2020,11,30
WH-12,2020,12,7,2020,12,10
WH-12,2020,12,12,2021,5,6
WH-12,2021,5,16,2021,5,17
WH-12,2021,5,21,2021,5,24
WH-13,2019,9,29,2019,9,29
WH-13,2019,11,20,2020,5,23
WH-13,2020,11,7,2021,5,4
WH-13,2021,5,21,2021,5,23
WH-14,2019,9,29,2019,10,2
WH-14,2019,10,28,2019,11,4
WH-14,2019,11,20,2020,5,8
WH-14,2020,11,7,2021,5,3
WH-15,2019,9,29,2019,10,3
WH-15,2019,10,27,2019,10,28
WH-15,2019,11,20,2020,6,3
WH-15,2020,11,7,2021,5,24
WL-01,2019,11,20,2020,2,4
WL-01,2020,2,9,2020,2,10
WL-01,2020,2,22,2020,2,26
WL-01,2020,3,1,2020,3,4
WL-01,2020,3,10,2020,3,13
WL-01,2020,3,16,2020,3,31
WL-01,2020,4,6,2020,4,22
WL-01,2020,11,8,2020,11,9
WL-01,2020,12,12,2021,1,13
WL-01,2021,1,19,2021,1,21
WL-01,2021,1,24,2021,3,4
WL-01,2021,3,11,2021,3,15
WL-01,2021,3,23,2021,3,23
WL-02,2019,11,20,2019,12,13
WL-02,2019,12,23,2020,1,23
WL-02,2020,2,22,2020,2,23
WL-02,2020,3,2,2020,3,2
WL-02,2020,3,17,2020,3,17
WL-02,2020,3,22,2020,3,22
WL-02,2020,3,27,2020,3,27
WL-02,2020,4,6,2020,4,6
WL-02,2020,4,8,2020,4,11
WL-02,2020,12,14,2020,12,15
WL-02,2020,12,27,2021,1,16
WL-02,2021,1,27,2021,2,13
WL-03,2020,11,7,2020,11,10
WL-03,2020,12,7,2020,12,7
WL-03,2020,12,12,2021,1,13
WL-03,2021,1,19,2021,3,2
WL-03,2021,3,10,2021,3,24
WL-03,2021,3,26,2021,3,26
WL-03,2021,4,25,2021,4,25
WL-03,2021,4,27,2021,4,27
WL-04,2019,10,28,2019,10,28
WL-04,2019,11,20,2020,1,28
WL-04,2020,2,3,2020,2,7
WL-04,2020,2,9,2020,5,6
WL-04,2020,5,19,2020,5,19
WL-04,2020,11,7,2020,11,14
WL-04,2020,11,26,2020,11,27
WL-04,2020,12,7,2020,12,10
WL-04,2020,12,12,2021,1,6
WL-04,2021,1,19,2021,4,4
WL-04,2021,4,17,2021,4,17
WL-04,2021,4,25,2021,4,25
WL-04,2021,4,27,2021,4,27
WL-04,2021,5,17,2021,5,17
WL-04,2021,5,21,2021,5,21
WL-05,2019,10,28,2019,10,28
WL-05,2019,11,20,2020,6,24
WL-05,2020,11,7,2020,11,15
WL-05,2020,11,18,2020,11,18
WL-05,2020,11,23,2020,11,23
WL-05,2020,11,26,2020,11,26
WL-05,2020,12,7,2020,12,10
WL-05,2020,12,12,2021,5,24
WL-06,2019,11,20,2020,5,5
WL-06,2020,11,7,2020,11,13
WL-06,2020,12,7,2020,12,8
WL-06,2020,12,12,2021,4,11
WL-07,2019,11,20,2020,4,29
WL-07,2020,11,8,2020,11,12
WL-07,2020,12,7,2020,12,7
WL-07,2020,12,12,2021,4,12
WL-08,2019,10,28,2019,10,28
WL-08,2019,11,20,2020,5,15
WL-08,2020,5,18,2020,5,20
WL-08,2020,11,7,2020,11,21
WL-08,2020,11,23,2020,11,23
WL-08,2020,11,26,2020,11,26
WL-08,2020,12,7,2020,12,10
WL-08,2020,12,12,2021,4,28
WL-08,2021,5,21,2021,5,22
WL-09,2019,11,20,2019,11,22
WL-09,2019,11,27,2019,12,6
WL-09,2019,12,23,2020,1,1
WL-09,2020,1,17,2020,1,19
WL-09,2020,2,22,2020,2,22
WL-09,2020,4,6,2020,4,26
WL-09,2020,4,8,2020,4,10
WL-09,2020,12,14,2020,12,15
WL-09,2020,12,27,2021,1,4
WL-09,2021,1,27,2021,2,5
WL-09,2021,3,12,2021,3,12
WL-10,2019,11,20,2019,11,22
WL-10,2019,11,27,2019,12,4
WL-10,2019,12,23,2019,12,30
WL-10,2020,1,17,2020,1,18
WL-10,2020,3,1,2020,3,1
WL-10,2020,3,17,2020,3,17
WL-10,2020,4,6,2020,4,6
WL-10,2020,4,8,2020,4,9
WL-10,2020,12,28,2021,1,1
WL-10,2021,1,27,2021,2,2
WL-11,2019,11,20,2020,4,18
WL-11,2020,11,9,2020,11,9
WL-11,2020,12,14,2021,3,30
WL-12,2019,10,28,2019,10,28
WL-12,2019,11,20,2020,5,26
WL-12,2020,11,7,2020,11,15
WL-12,2020,11,18,2020,11,18
WL-12,2020,11,23,2020,11,23
WL-12,2020,11,26,2020,11,26
WL-12,2020,12,7,2020,12,10
WL-12,2020,12,12,2021,1,10
WL-12,2021,1,19,2021,4,9
WL-12,2021,4,17,2021,4,17
WL-12,2021,4,25,2021,4,28
WL-12,2021,5,21,2021,5,22
WL-15,2019,10,28,2019,10,28
WL-15,2019,11,20,2020,5,31
WL-15,2020,11,7,2020,11,16
WL-15,2020,11,18,2020,11,18
WL-15,2020,11,23,2020,11,23
WL-15,2020,12,7,2020,12,10
WL-15,2020,12,12,2021,4,18
WL-15,2021,4,25,2021,4,28
WL-15,2021,5,21,2021,5,22